Track Name,Artist Name(s),Album Name,Album Artist Name(s),Album Release Date,Track Duration (ms),Explicit,Popularity,Artist Genres,Danceability,Energy,Loudness,Speechiness,Acousticness
Hey Baby,"No Doubt, Bounty Killer",The Singles Collection,No Doubt,01/01/2003,206760,FALSE,0,"dance pop,dance rock,permanent wave,pop rock,rock,dancehall,jamaican hip hop,reggae fusion",0.597,0.86,-3.959,0.205,0.0588
Don't Dream It's Over,Crowded House,Crowded House,Crowded House,1986,236933,FALSE,0,"australian rock,permanent wave",0.439,0.422,-17.227,0.0409,0.0148
Walk Like a Man,Frankie Valli & The Four Seasons,Big Girls Don't Cry and 12 Other Hits,Frankie Valli & The Four Seasons,01/02/1963,137933,FALSE,56,"adult standards,bubblegum pop,doo-wop,lounge,northern soul,rock-and-roll,rockabilly",0.681,0.64,-10.364,0.0346,0.605
Underneath Your Clothes,Shakira,Laundry Service,Shakira,13/11/2001,224066,FALSE,59,"colombian pop,dance pop,latin pop,pop",0.616,0.597,-5.328,0.0415,0.691
Freak Me,Silk,Lose Control,Silk,1992,274533,FALSE,57,,0.697,0.608,-10.976,0.0463,0.0295
Judy's Turn To Cry,Lesley Gore,I'll Cry If I Want To,Lesley Gore,01/06/1963,131000,FALSE,0,"brill building pop,bubblegum pop,classic girl group",0.738,0.563,-12.406,0.0605,0.577
The Old Man Down The Road,John Fogerty,Centerfield - 25th Anniversary,John Fogerty,1985,213750,FALSE,0,"album rock,blues rock,classic rock,country rock,folk rock,heartland rock,mellow gold,singer-songwriter,soft rock,southern rock,swamp rock",0.768,0.809,-5.816,0.0289,0.0271
Hey Brother,Avicii,TRUE,Avicii,01/01/2013,255093,FALSE,2,"dance pop,edm,pop,pop dance",0.545,0.78,-4.867,0.0436,0.0309
Little Sister,Elvis Presley,Elvis 75 - Good Rockin' Tonight,Elvis Presley,28/12/2009,151586,FALSE,0,"rock-and-roll,rockabilly",0.6,0.622,-11.936,0.0751,0.432
Blank Space,Taylor Swift,1989,Taylor Swift,27/10/2014,231826,FALSE,69,pop,0.753,0.678,-5.421,0.0644,0.085
Moves Like Jagger,"Maroon 5, Christina Aguilera",Singles,Maroon 5,25/09/2015,202640,FALSE,67,"pop,dance pop,pop",0.72,0.751,-4.485,0.0461,0.0113
Futon Couch,Missy Higgins,Futon Couch,Missy Higgins,08/02/2018,205160,FALSE,28,"australian indie,australian pop",0.711,0.525,-6.53,0.0589,0.207
Bang-Shang-a-Lang,The Archies,The Archies,The Archies,16/02/1968,152502,FALSE,30,"bubblegum pop,classic canadian rock,rock-and-roll",0.623,0.403,-10.238,0.0485,0.00449
Lighters,"Bad Meets Evil, Bruno Mars",Hell: The Sequel (Deluxe),Bad Meets Evil,01/01/2011,303813,TRUE,0,"detroit hip hop,dance pop,pop",0.643,0.663,-8.237,0.265,0.351
Go Crazy,"Chris Brown, Young Thug",Slime & B,"Chris Brown, Young Thug",05/05/2020,176960,FALSE,45,"r&b,rap,atl hip hop,atl trap,gangster rap,hip hop,melodic rap,rap,trap",0.766,0.572,-8.902,0.17,0.347
If I Know You,The Presets,Apocalypso,The Presets,01/01/2009,268426,FALSE,0,"alternative dance,australian dance,australian indie",0.679,0.672,-4.742,0.0417,0.263
Break Your Heart,Taio Cruz,The Rokstarr Hits Collection,Taio Cruz,01/01/2010,201546,FALSE,67,"dance pop,pop,pop rap",0.607,0.934,-4.217,0.0314,0.0328
Blended Family (What You Do For Love) (feat. A$AP Rocky),"Alicia Keys, A$AP Rocky",HERE,Alicia Keys,04/11/2016,211546,FALSE,35,"neo soul,pop,r&b,east coast hip hop,hip hop,rap",0.722,0.52,-7.618,0.0748,0.065
Rock And Roll All Nite,KISS,Dressed To Kill (Remastered Version),KISS,19/03/1975,168733,FALSE,0,"glam rock,hard rock,rock",0.656,0.931,-5.827,0.0976,0.046
I Got You,Split Enz,True Colours,Split Enz,1980,209440,FALSE,51,"classic nz pop,kiwi rock,zolo",0.676,0.581,-9.289,0.0373,0.0687
Jungle Love,Steve Miller Band,Greatest Hits 1974-78,Steve Miller Band,01/01/1978,189293,FALSE,42,"album rock,classic rock,hard rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock",0.481,0.689,-11.629,0.214,0.167
By Your Side,"Jonas Blue, RAYE",By Your Side,Jonas Blue,28/10/2016,201254,FALSE,0,"pop,pop dance,tropical house,uk dance,uk contemporary r&b,uk pop",0.696,0.743,-3.838,0.0331,0.0778
